년월,생태구역,연안명칭,"St.
No
",해수수질기준,표층DO,저층DO,표층DIN,저층DIN,표층DIP,저층DIP,표층Chl-a,저층Chl-a,표층투명도,수거량
201702.0,대한해협,통영연안,2,1.0,11.0792764540864,10.966595137902301,10.43,12.012,7.7189999999999985,7.502000000000002,2.14,1.52,2.9,1694.4761904761906
201702.0,대한해협,통영연안,3,1.0,11.5113855201584,11.507482719067399,53.13,59.346,12.369000000000002,13.578,1.252,0.79,3.9,1694.4761904761906
201702.0,대한해협,통영연안,4,1.0,10.8200110144432,10.7248119380115,27.412,23.632,13.515999999999998,12.772,0.1044,0.0542,7.8,1694.4761904761906
201702.0,대한해협,통영외안,1,1.0,11.4595324322298,10.0733670048293,11.116,19.39,11.966,11.935,1.4580000000000002,1.964,4.3,1694.4761904761906
201702.0,대한해협,통영외안,2,1.0,10.768157926514599,10.609000584846,10.178,10.976,10.571,10.54,0.302,0.966,3.8,1694.4761904761906
201702.0,대한해협,통영외안,3,1.0,9.29898710186973,9.434062409325561,60.83,63.952,15.531,15.252,0.5760000000000001,0.846,3.9,1694.4761904761906
201702.0,대한해협,통영외안,4,1.0,9.69652744265598,9.278555886094919,82.36200000000002,84.462,13.515999999999998,13.857,0.278,0.378,4.2,1694.4761904761906
201702.0,대한해협,통영외안,5,1.0,8.90144676108348,9.24399888093256,88.62,61.684,16.337,13.671,0.0484,0.6459999999999999,5.0,1694.4761904761906
201702.0,대한해협,통영외안,6,1.0,9.385408915084133,9.347669896419653,85.876,75.47399999999998,14.973,14.229,0.1062,0.344,5.1,1694.4761904761906
201702.0,대한해협,고성.자란만,1,1.0,10.992854640871997,10.989127641631999,12.642,14.784,11.377,11.005,0.222,0.1582,4.2,1694.4761904761906
201702.0,대한해협,고성.자란만,2,1.0,10.7163048385859,10.729950102914199,10.765999999999998,9.702,11.997,12.09,0.0598,0.0764,7.2,1694.4761904761906
201702.0,대한해협,고성.자란만,3,1.0,10.8372953770861,10.902735128726098,11.144,12.138,11.067,11.532,0.1264,0.1764,5.5,1694.4761904761906
201702.0,대한해협,사천연안,1,2.0,9.385408915084133,9.84874647127394,11.34,8.456,14.942,14.415,1.034,1.306,2.0,1694.4761904761906
201702.0,대한해협,사천연안,2,1.0,9.160712200726689,9.07121385512073,13.258,10.57,14.57,14.415,0.552,0.916,3.3,1694.4761904761906
201702.0,대한해협,사천연안,3,1.0,10.3533332230854,10.4312180524299,40.306,30.086,13.702,13.082,1.536,1.612,2.5,1694.4761904761906
201702.0,대한해협,사천연안,4,1.0,10.8200110144432,10.712671600333099,10.794,23.086,13.888,13.299,0.802,1.32,3.0,1694.4761904761906
