년월,생태구역,해수수질기준,표층수온,저층수온,표층염분,저층염분,표층pH,저층pH,표층DO,저층DO,표층COD,저층COD,표층NH4-N,저층NH4-N,표층NO2-N,저층NO2-N,표층NO3-N,저층NO3-N,표층DIN,저층DIN,표층T-N,저층T-N,표층DIP,저층DIP,표층T-P,저층T-P,표층SiO2-Si,저층SiO2-Si,표층SS,저층SS,표층Chl-a,저층Chl-a,표층투명도,수거량,수거량2,정화면적,일별처리량,시설용량(톤/일)(A),방류BOD(mg/L)평균,"평균
처리효율
(%)",방류COD(mg/L)평균,방류SS(mg/L)평균,방류T-N(mg/L)평균,방류T-P(mg/L)평균,방류대장균군수(개/mL)평균
201702,동해,1,11.4409,11.2255,34.3634,34.4053,8.28,8.26,8.896999291,8.646380881,0.877226667,0.948501333,5.432,5.474,2.142,4.13,51.786,70.476,59.36,80.08,159.25,190.232,7.905,10.788,20.553,23.405,181.384,255.164,3.15,3.2,0.62,0.238,16,0.017966962,114.43,26,1779.545205,6500,1.6,0.998950751,17.1,3.2,10.204,0.299,208
201702,동해,1,11.001,10.9293,34.3798,34.3714,8.28,8.28,8.94707621,8.880066851,0.877226667,0.948501333,2.8,2.954,2.296,2.828,61.53,64.4,66.626,70.182,171.654,156.24,8.742,8.649,19.809,18.259,225.764,221.62,2.85,3.75,0.398,0.38,19,0.017966962,114.43,26,1779.545205,6500,1.6,0.998950751,17.1,3.2,10.204,0.299,208
201702,동해,1,11.6158,11.1777,34.4004,34.4077,8.29,8.27,9.113999274,8.880066851,0.367338667,0.504405333,7.224,7.294,2.912,2.94,62.538,61.558,72.674,71.792,184.996,191.576,9.486,9.455,24.18,25.048,237.244,231.252,4.25,2.1,0.528,0.27,13,0.053470309,114.43,26,650.5054795,1971.25,1.805588235,0.996308028,10.17944853,1.990281904,7.197561597,0.323697557,80.04578431
201702,동해,1,11.2164,11.3774,34.1706,34.3925,8.28,8.29,8.863614678,8.813299431,0.893674667,0.767573333,5.068,5.502,3.472,3.136,71.316,60.998,79.856,69.636,174.72,180.376,10.075,9.486,20.522,21.173,241.108,220.78,3.05,3.9,0.478,0.366,14,0.053470309,114.43,26,650.5054795,1971.25,1.805588235,0.996308028,10.17944853,1.990281904,7.197561597,0.323697557,80.04578431
201702,동해,1,11.5558,11.517,34.3925,34.3985,8.25,8.26,8.94707621,8.763223866,0.729194667,0.981397333,4.55,5.95,3.024,5.95,58.716,68.054,66.29,79.954,178.262,159.67,8.928,9.703,22.599,20.522,226.884,223.776,2.8,2.9,0.656,0.1114,18,0.053470309,114.43,26,650.5054795,1971.25,1.805588235,0.996308028,10.17944853,1.990281904,7.197561597,0.323697557,80.04578431
201702,동해,1,11.6386,11.5764,34.3291,34.4009,8.27,8.27,8.896999291,8.813299431,0.745642667,0.816917333,5.278,7.924,1.806,3.094,53.956,66.738,61.04,77.756,180.208,183.372,7.874,10.757,22.041,24.738,188.86,256.396,3.2,3.15,0.336,1.006,23.5,0.053470309,114.43,26,650.5054795,1971.25,1.805588235,0.996308028,10.17944853,1.990281904,7.197561597,0.323697557,80.04578431
201702,동해,1,12.9639,11.5079,34.3277,34.3852,8.25,8.24,8.846922372,8.763223866,1.189738667,0.701781333,3.92,5.026,2.73,2.646,68.32,67.564,74.97,75.236,171.472,195.076,9.889,10.261,21.018,24.273,249.956,248.668,3.15,4.25,0.1952,0.286,17.5,0.053470309,114.43,26,650.5054795,1971.25,1.805588235,0.996308028,10.17944853,1.990281904,7.197561597,0.323697557,80.04578431
201702,동해,1,12.5439,11.5755,34.2954,34.3713,8.26,8.26,8.863614678,8.913450561,1.041706667,1.343253333,3.108,6.748,2.52,2.898,64.484,62.972,70.112,72.618,178.22,177.856,8.68,9.238,20.553,22.599,216.496,232.596,2.75,5.05,0.25,0.28,18.5,0.053470309,114.43,26,650.5054795,1971.25,1.805588235,0.996308028,10.17944853,1.990281904,7.197561597,0.323697557,80.04578431
201702,동해,1,11.4838,11.4598,34.3303,34.3547,8.21,8.24,9.013845435,8.980217981,1.156842667,0.800469333,5.558,4.844,2.128,2.87,62.244,64.414,69.93,72.128,175.28,185.556,9.641,10.478,21.514,23.281,215.6,227.248,22.1,20.5,0.0488,0.0546,18,0.053470309,114.43,26,650.5054795,1971.25,1.805588235,0.996308028,10.17944853,1.990281904,7.197561597,0.323697557,80.04578431
201702,동해,1,11.3363,11.4605,34.2636,34.3518,8.24,8.24,9.397768482,9.130444676,1.074602667,1.145877333,3.682,3.584,2.828,2.212,70.728,61.866,77.238,67.662,174.076,170.632,9.765,10.261,20.801,22.258,217.98,212.828,17.9,19,0.053,0.0564,18,0.053470309,114.43,26,650.5054795,1971.25,1.805588235,0.996308028,10.17944853,1.990281904,7.197561597,0.323697557,80.04578431
